observation_date,DEXNOUS
1990-09-04,6.1235
1990-09-05,6.0555
1990-09-06,6.0305
1990-09-07,6.0565
1990-09-10,6.1060
1990-09-11,6.1400
1990-09-12,6.1150
1990-09-13,6.0750
1990-09-14,6.0480
1990-09-17,6.0280
1990-09-18,6.0025
1990-09-19,6.0640
1990-09-20,6.1080
1990-09-21,6.1000
1990-09-24,6.0500
1990-09-25,6.0580
1990-09-26,6.0800
1990-09-27,6.0910
1990-09-28,6.0650
1990-10-01,6.0210
1990-10-02,6.0380
1990-10-03,6.0015
1990-10-04,5.9720
1990-10-05,5.9870
1990-10-08,
1990-10-09,5.9025
1990-10-10,5.9140
1990-10-11,5.9280
1990-10-12,5.8845
1990-10-15,5.9055
1990-10-16,5.8800
1990-10-17,5.8660
1990-10-18,5.8700
1990-10-19,5.8400
1990-10-22,5.8800
1990-10-23,5.8995
1990-10-24,5.8650
1990-10-25,5.8760
1990-10-26,5.8950
1990-10-29,5.8990
1990-10-30,5.9110
1990-10-31,5.8940
1990-11-01,5.8650
1990-11-02,5.8585
1990-11-05,5.8100
1990-11-06,5.7880
1990-11-07,5.7730
1990-11-08,5.8120
1990-11-09,5.8100
1990-11-12,
1990-11-13,5.7790
1990-11-14,5.7560
1990-11-15,5.7850
1990-11-16,5.7630
1990-11-19,5.7680
1990-11-20,5.7790
1990-11-21,5.7970
1990-11-22,
1990-11-23,5.7975
1990-11-26,5.8205
1990-11-27,5.7740
1990-11-28,5.7890
1990-11-29,5.8215
1990-11-30,5.8460
1990-12-03,5.9080
1990-12-04,5.8795
1990-12-05,5.8915
1990-12-06,5.8350
1990-12-07,5.7945
1990-12-10,5.7710
1990-12-11,5.8065
1990-12-12,5.8000
1990-12-13,5.8100
1990-12-14,5.8230
1990-12-17,5.8295
1990-12-18,5.8240
1990-12-19,5.8070
1990-12-20,5.8835
1990-12-21,5.9915
1990-12-24,6.0320
1990-12-25,
1990-12-26,6.0020
1990-12-27,6.0030
1990-12-28,5.8725
1990-12-31,5.8695
1991-01-01,
1991-01-02,5.8480
1991-01-03,5.8450
1991-01-04,5.8905
1991-01-07,5.9935
1991-01-08,5.9850
1991-01-09,5.9165
1991-01-10,5.9885
1991-01-11,5.9900
1991-01-14,6.0300
1991-01-15,6.0285
1991-01-16,6.0240
1991-01-17,5.9075
1991-01-18,5.8630
1991-01-21,
1991-01-22,5.8450
1991-01-23,5.8300
1991-01-24,5.8190
1991-01-25,5.8335
1991-01-28,5.8190
1991-01-29,5.8140
1991-01-30,5.8300
1991-01-31,5.7850
1991-02-01,5.7460
1991-02-04,5.7315
1991-02-05,5.7280
1991-02-06,5.6870
1991-02-07,5.6760
1991-02-08,5.6990
1991-02-11,5.6635
1991-02-12,5.6890
1991-02-13,5.7100
1991-02-14,5.7360
1991-02-15,5.7660
1991-02-18,
1991-02-19,5.8370
1991-02-20,5.8540
1991-02-21,5.8320
1991-02-22,5.8790
1991-02-25,5.9530
1991-02-26,5.9415
1991-02-27,5.9490
1991-02-28,5.9690
1991-03-01,6.0010
1991-03-04,6.0060
1991-03-05,5.9950
1991-03-06,6.0215
1991-03-07,6.0485
1991-03-08,6.0975
1991-03-11,6.1745
1991-03-12,6.1525
1991-03-13,6.1635
1991-03-14,6.1715
1991-03-15,6.2465
1991-03-18,6.3770
1991-03-19,6.4535
1991-03-20,6.4025
1991-03-21,6.3920
1991-03-22,6.4170
1991-03-25,6.5030
1991-03-26,6.5825
1991-03-27,6.6350
1991-03-28,6.6450
1991-03-29,6.6025
1991-04-01,6.5540
1991-04-02,6.5300
1991-04-03,6.5005
1991-04-04,6.4815
1991-04-05,6.5440
1991-04-08,6.5665
1991-04-09,6.5050
1991-04-10,6.5300
1991-04-11,6.4995
1991-04-12,6.5340
1991-04-15,6.5060
1991-04-16,6.4825
1991-04-17,6.5020
1991-04-18,6.5600
1991-04-19,6.7410
1991-04-22,6.8545
1991-04-23,6.7700
1991-04-24,6.8105
1991-04-25,6.7805
1991-04-26,6.8175
1991-04-29,6.8660
1991-04-30,6.7000
1991-05-01,6.6565
1991-05-02,6.7130
1991-05-03,6.8220
1991-05-06,6.7665
1991-05-07,6.6915
1991-05-08,6.7400
1991-05-09,6.7750
1991-05-10,6.7120
1991-05-13,6.6630
1991-05-14,6.6145
1991-05-15,6.5895
1991-05-16,6.6110
1991-05-17,6.7490
1991-05-20,6.7170
1991-05-21,6.6705
1991-05-22,6.7040
1991-05-23,6.6740
1991-05-24,6.6600
1991-05-27,
1991-05-28,6.6265
1991-05-29,6.6615
1991-05-30,6.7025
1991-05-31,6.7765
1991-06-03,6.8055
1991-06-04,6.7830
1991-06-05,6.8220
1991-06-06,6.8310
1991-06-07,6.8970
1991-06-10,6.8995
1991-06-11,6.9160
1991-06-12,6.9915
1991-06-13,7.0205
1991-06-14,6.9850
1991-06-17,7.0365
1991-06-18,7.0945
1991-06-19,7.0080
1991-06-20,7.0235
1991-06-21,7.0240
1991-06-24,6.9700
1991-06-25,7.0085
1991-06-26,6.9645
1991-06-27,7.0020
1991-06-28,7.0015
1991-07-01,7.1000
1991-07-02,7.1450
1991-07-03,7.1400
1991-07-04,
1991-07-05,7.1320
1991-07-08,7.0700
1991-07-09,7.0950
1991-07-10,7.0755
1991-07-11,7.1455
1991-07-12,6.9780
1991-07-15,6.9825
1991-07-16,7.0065
1991-07-17,6.9820
1991-07-18,6.9010
1991-07-19,6.8150
1991-07-22,6.8540
1991-07-23,6.8465
1991-07-24,6.7775
1991-07-25,6.8400
1991-07-26,6.7880
1991-07-29,6.8425
1991-07-30,6.8425
1991-07-31,6.8210
1991-08-01,6.8640
1991-08-02,6.7700
1991-08-05,6.7265
1991-08-06,6.6940
1991-08-07,6.6830
1991-08-08,6.7450
1991-08-09,6.7580
1991-08-12,6.7450
1991-08-13,6.7720
1991-08-14,6.7870
1991-08-15,6.7850
1991-08-16,6.8860
1991-08-19,7.0710
1991-08-20,7.0260
1991-08-21,6.8330
1991-08-22,6.7430
1991-08-23,6.8470
1991-08-26,6.8370
1991-08-27,6.8310
1991-08-28,6.8010
1991-08-29,6.8240
1991-08-30,6.8300
1991-09-02,
1991-09-03,6.7945
1991-09-04,6.7865
1991-09-05,6.7945
1991-09-06,6.7700
1991-09-09,6.6350
1991-09-10,6.6275
1991-09-11,6.6380
1991-09-12,6.6080
1991-09-13,6.6020
1991-09-16,6.5595
1991-09-17,6.5515
1991-09-18,6.5895
1991-09-19,6.6230
1991-09-20,6.6045
1991-09-23,6.5450
1991-09-24,6.5570
1991-09-25,6.5900
1991-09-26,6.5870
1991-09-27,6.5625
1991-09-30,6.5060
1991-10-01,6.5170
1991-10-02,6.5065
1991-10-03,6.5155
1991-10-04,6.5545
1991-10-07,6.5685
1991-10-08,6.6315
1991-10-09,6.6305
1991-10-10,6.6275
1991-10-11,6.6300
1991-10-14,
1991-10-15,6.6965
1991-10-16,6.6630
1991-10-17,6.6630
1991-10-18,6.6225
1991-10-21,6.6230
1991-10-22,6.6420
1991-10-23,6.6790
1991-10-24,6.6625
1991-10-25,6.6650
1991-10-28,6.6985
1991-10-29,6.6270
1991-10-30,6.5415
1991-10-31,6.5340
1991-11-01,6.5080
1991-11-04,6.3925
1991-11-05,6.4385
1991-11-06,6.4330
1991-11-07,6.3920
1991-11-08,6.4375
1991-11-11,
1991-11-12,6.4165
1991-11-13,6.4270
1991-11-14,6.4015
1991-11-15,6.4330
1991-11-18,6.3080
1991-11-19,6.2880
1991-11-20,6.2995
1991-11-21,6.2750
1991-11-22,6.2470
1991-11-25,6.2360
1991-11-26,6.2350
1991-11-27,6.3630
1991-11-28,
1991-11-29,6.3900
1991-12-02,6.3370
1991-12-03,6.3530
1991-12-04,6.3645
1991-12-05,6.2660
1991-12-06,6.1975
1991-12-09,6.2000
1991-12-10,6.2230
1991-12-11,6.2140
1991-12-12,6.2160
1991-12-13,6.2270
1991-12-16,6.2040
1991-12-17,6.1850
1991-12-18,6.1810
1991-12-19,6.1470
1991-12-20,6.0480
1991-12-23,5.9770
1991-12-24,6.0150
1991-12-25,
1991-12-26,5.9640
1991-12-27,5.9830
1991-12-30,5.9840
1991-12-31,5.9850
1992-01-01,
1992-01-02,6.0240
1992-01-03,6.0860
1992-01-06,5.9840
1992-01-07,5.9900
1992-01-08,5.9710
1992-01-09,6.0820
1992-01-10,6.2160
1992-01-13,6.1920
1992-01-14,6.2290
1992-01-15,6.3710
1992-01-16,6.3640
1992-01-17,6.3150
1992-01-20,
1992-01-21,6.2150
1992-01-22,6.2320
1992-01-23,6.2630
1992-01-24,6.2480
1992-01-27,6.3370
1992-01-28,6.2720
1992-01-29,6.2440
1992-01-30,6.3525
1992-01-31,6.3040
1992-02-03,6.2775
1992-02-04,6.2495
1992-02-05,6.2430
1992-02-06,6.2010
1992-02-07,6.1310
1992-02-10,6.1655
1992-02-11,6.2470
1992-02-12,6.3035
1992-02-13,6.3565
1992-02-14,6.3785
1992-02-17,
1992-02-18,6.4530
1992-02-19,6.4555
1992-02-20,6.4560
1992-02-21,6.4655
1992-02-24,6.4590
1992-02-25,6.4275
1992-02-26,6.4630
1992-02-27,6.4460
1992-02-28,6.4185
1992-03-02,6.4360
1992-03-03,6.4900
1992-03-04,6.5435
1992-03-05,6.5450
1992-03-06,6.5415
1992-03-09,6.5250
1992-03-10,6.5510
1992-03-11,6.5240
1992-03-12,6.5610
1992-03-13,6.5370
1992-03-16,6.5350
1992-03-17,6.4940
1992-03-18,6.4780
1992-03-19,6.5605
1992-03-20,6.5840
1992-03-23,6.5540
1992-03-24,6.5390
1992-03-25,6.4890
1992-03-26,6.5280
1992-03-27,6.4590
1992-03-30,6.4745
1992-03-31,6.4640
1992-04-01,6.4825
1992-04-02,6.4670
1992-04-03,6.3850
1992-04-06,6.3750
1992-04-07,6.3860
1992-04-08,6.3980
1992-04-09,6.3640
1992-04-10,6.4245
1992-04-13,6.4760
1992-04-14,6.4450
1992-04-15,6.4925
1992-04-16,6.5240
1992-04-17,6.5340
1992-04-20,6.5530
1992-04-21,6.5300
1992-04-22,6.5010
1992-04-23,6.5050
1992-04-24,6.4555
1992-04-27,6.4530
1992-04-28,6.4610
1992-04-29,6.4660
1992-04-30,6.4555
1992-05-01,6.4070
1992-05-04,6.4160
1992-05-05,6.4060
1992-05-06,6.3720
1992-05-07,6.3860
1992-05-08,6.4305
1992-05-11,6.4090
1992-05-12,6.3300
1992-05-13,6.3245
1992-05-14,6.2950
1992-05-15,6.3050
1992-05-18,6.2245
1992-05-19,6.2090
1992-05-20,6.2500
1992-05-21,6.3000
1992-05-22,6.3170
1992-05-25,
1992-05-26,6.2775
1992-05-27,6.3660
1992-05-28,6.3400
1992-05-29,6.2575
1992-06-01,6.2785
1992-06-02,6.2740
1992-06-03,6.2715
1992-06-04,6.2460
1992-06-05,6.2045
1992-06-08,6.2100
1992-06-09,6.2215
1992-06-10,6.2295
1992-06-11,6.1735
1992-06-12,6.1710
1992-06-15,6.1470
1992-06-16,6.1355
1992-06-17,6.1675
1992-06-18,6.1220
1992-06-19,6.1435
1992-06-22,6.1260
1992-06-23,6.1270
1992-06-24,6.0710
1992-06-25,6.0325
1992-06-26,6.0205
1992-06-29,5.9420
1992-06-30,5.9690
1992-07-01,5.9460
1992-07-02,5.9335
1992-07-03,5.9445
1992-07-06,5.9250
1992-07-07,5.8830
1992-07-08,5.8695
1992-07-09,5.9530
1992-07-10,5.8850
1992-07-13,5.8080
1992-07-14,5.8750
1992-07-15,5.8110
1992-07-16,5.8010
1992-07-17,5.7435
1992-07-20,5.8265
1992-07-21,5.8570
1992-07-22,5.8595
1992-07-23,5.8315
1992-07-24,5.8935
1992-07-27,5.8285
1992-07-28,5.7930
1992-07-29,5.8285
1992-07-30,5.8215
1992-07-31,5.8195
1992-08-03,5.8070
1992-08-04,5.8025
1992-08-05,5.8145
1992-08-06,5.8325
1992-08-07,5.7690
1992-08-10,5.7785
1992-08-11,5.7930
1992-08-12,5.7730
1992-08-13,5.7540
1992-08-14,5.7885
1992-08-17,5.7670
1992-08-18,5.7535
1992-08-19,5.7385
1992-08-20,5.7190
1992-08-21,5.6735
1992-08-24,5.5555
1992-08-25,5.5530
1992-08-26,5.5690
1992-08-27,5.5810
1992-08-28,5.5790
1992-08-31,5.5510
1992-09-01,5.5228
1992-09-02,5.5095
1992-09-03,5.5850
1992-09-04,5.5595
1992-09-07,
1992-09-08,5.5130
1992-09-09,5.5845
1992-09-10,5.5910
1992-09-11,5.7250
1992-09-14,5.8740
1992-09-15,5.9300
1992-09-16,6.0380
1992-09-17,5.9950
1992-09-18,6.1090
1992-09-21,6.0150
1992-09-22,6.0470
1992-09-23,6.0620
1992-09-24,6.0070
1992-09-25,5.9970
1992-09-28,5.8780
1992-09-29,5.7600
1992-09-30,5.7415
1992-10-01,5.7940
1992-10-02,5.7760
1992-10-05,5.7745
1992-10-06,5.8590
1992-10-07,5.8930
1992-10-08,5.9990
1992-10-09,6.0420
1992-10-12,
1992-10-13,5.9750
1992-10-14,5.9605
1992-10-15,5.9215
1992-10-16,6.0295
1992-10-19,6.0490
1992-10-20,6.1930
1992-10-21,6.1400
1992-10-22,6.1545
1992-10-23,6.2450
1992-10-26,6.2680
1992-10-27,6.2680
1992-10-28,6.2770
1992-10-29,6.2775
1992-10-30,6.2840
1992-11-02,6.3875
1992-11-03,6.3595
1992-11-04,6.3830
1992-11-05,6.4190
1992-11-06,6.4780
1992-11-09,6.4660
1992-11-10,6.5050
1992-11-11,
1992-11-12,6.4725
1992-11-13,6.3780
1992-11-16,6.4690
1992-11-17,6.5110
1992-11-18,6.5290
1992-11-19,6.4900
1992-11-20,6.4600
1992-11-23,6.4200
1992-11-24,6.6600
1992-11-25,6.5300
1992-11-26,
1992-11-27,6.5470
1992-11-30,6.4925
1992-12-01,6.4910
1992-12-02,6.4395
1992-12-03,6.4740
1992-12-04,6.5090
1992-12-07,6.4130
1992-12-08,6.3615
1992-12-09,6.4060
1992-12-10,6.8000
1992-12-11,6.8260
1992-12-14,6.7470
1992-12-15,6.7340
1992-12-16,6.6590
1992-12-17,6.6850
1992-12-18,6.7420
1992-12-21,6.7570
1992-12-22,6.7450
1992-12-23,6.7680
1992-12-24,6.7900
1992-12-25,
1992-12-28,6.8400
1992-12-29,6.9270
1992-12-30,6.9075
1992-12-31,6.9480
1993-01-01,
1993-01-04,6.9710
1993-01-05,6.9590
1993-01-06,6.9820
1993-01-07,7.0260
1993-01-08,7.0070
1993-01-11,6.9725
1993-01-12,6.9625
1993-01-13,6.9565
1993-01-14,6.8850
1993-01-15,6.8900
1993-01-18,
1993-01-19,6.8150
1993-01-20,6.7950
1993-01-21,6.8530
1993-01-22,6.7860
1993-01-25,6.6650
1993-01-26,6.7010
1993-01-27,6.7350
1993-01-28,6.7650
1993-01-29,6.8425
1993-02-01,6.9700
1993-02-02,6.9805
1993-02-03,6.9970
1993-02-04,6.9980
1993-02-05,7.0000
1993-02-08,7.0080
1993-02-09,7.0050
1993-02-10,7.0100
1993-02-11,7.0350
1993-02-12,7.0660
1993-02-15,
1993-02-16,6.9530
1993-02-17,6.9235
1993-02-18,6.9500
1993-02-19,6.9580
1993-02-22,6.9450
1993-02-23,6.8855
1993-02-24,6.9250
1993-02-25,6.9730
1993-02-26,6.9975
1993-03-01,6.9950
1993-03-02,6.9860
1993-03-03,6.9950
1993-03-04,6.9600
1993-03-05,7.0600
1993-03-08,7.0435
1993-03-09,7.0850
1993-03-10,7.0825
1993-03-11,7.0710
1993-03-12,7.0855
1993-03-15,7.0630
1993-03-16,7.0775
1993-03-17,7.0860
1993-03-18,7.0270
1993-03-19,6.9480
1993-03-22,6.9555
1993-03-23,6.9355
1993-03-24,6.9285
1993-03-25,6.9900
1993-03-26,6.9325
1993-03-29,6.9355
1993-03-30,6.8825
1993-03-31,6.8495
1993-04-01,6.7900
1993-04-02,6.8560
1993-04-05,6.7945
1993-04-06,6.8795
1993-04-07,6.8880
1993-04-08,6.8100
1993-04-09,6.8290
1993-04-12,6.7875
1993-04-13,6.7195
1993-04-14,6.7455
1993-04-15,6.7995
1993-04-16,6.8450
1993-04-19,6.7780
1993-04-20,6.7800
1993-04-21,6.8025
1993-04-22,6.7950
1993-04-23,6.7000
1993-04-26,6.6300
1993-04-27,6.6800
1993-04-28,6.6975
1993-04-29,6.6905
1993-04-30,6.7250
1993-05-03,6.7050
1993-05-04,6.6575
1993-05-05,6.6850
1993-05-06,6.6800
1993-05-07,6.6900
1993-05-10,6.7830
1993-05-11,6.7990
1993-05-12,6.8300
1993-05-13,6.8600
1993-05-14,6.7950
1993-05-17,6.8560
1993-05-18,6.8880
1993-05-19,6.8700
1993-05-20,6.8225
1993-05-21,6.8750
1993-05-24,6.9090
1993-05-25,6.8800
1993-05-26,6.9035
1993-05-27,6.8240
1993-05-28,6.7415
1993-05-31,
1993-06-01,6.7650
1993-06-02,6.7720
1993-06-03,6.7890
1993-06-04,6.8920
1993-06-07,6.8630
1993-06-08,6.8775
1993-06-09,6.9300
1993-06-10,6.9140
1993-06-11,6.8610
1993-06-14,6.8750
1993-06-15,6.9270
1993-06-16,7.0075
1993-06-17,6.9870
1993-06-18,7.0925
1993-06-21,7.1350
1993-06-22,7.1600
1993-06-23,7.1500
1993-06-24,7.2170
1993-06-25,7.1980
1993-06-28,7.1925
1993-06-29,7.1550
1993-06-30,7.2100
1993-07-01,7.1625
1993-07-02,7.1880
1993-07-05,
1993-07-06,7.2130
1993-07-07,7.2350
1993-07-08,7.2500
1993-07-09,7.3175
1993-07-12,7.3830
1993-07-13,7.3275
1993-07-14,7.3825
1993-07-15,7.3575
1993-07-16,7.3700
1993-07-19,7.2800
1993-07-20,7.3100
1993-07-21,7.2700
1993-07-22,7.3175
1993-07-23,7.3350
1993-07-26,7.3500
1993-07-27,7.3740
1993-07-28,7.3540
1993-07-29,7.4360
1993-07-30,7.4625
1993-08-02,7.4290
1993-08-03,7.3875
1993-08-04,7.3800
1993-08-05,7.4150
1993-08-06,7.3675
1993-08-09,7.3780
1993-08-10,7.4395
1993-08-11,7.4635
1993-08-12,7.4900
1993-08-13,7.4680
1993-08-16,7.3580
1993-08-17,7.3640
1993-08-18,7.3080
1993-08-19,7.3120
1993-08-20,7.2730
1993-08-23,7.3275
1993-08-24,7.2930
1993-08-25,7.3300
1993-08-26,7.2575
1993-08-27,7.2555
1993-08-30,7.2875
1993-08-31,7.2900
1993-09-01,7.2290
1993-09-02,7.1930
1993-09-03,7.1100
1993-09-06,
1993-09-07,7.0300
1993-09-08,7.0900
1993-09-09,7.0030
1993-09-10,6.9840
1993-09-13,7.0050
1993-09-14,6.9925
1993-09-15,6.9580
1993-09-16,7.0125
1993-09-17,7.0300
1993-09-20,7.0295
1993-09-21,7.1595
1993-09-22,7.1125
1993-09-23,7.1725
1993-09-24,7.1925
1993-09-27,7.1325
1993-09-28,7.0950
1993-09-29,7.0725
1993-09-30,7.1380
1993-10-01,7.1260
1993-10-04,7.1025
1993-10-05,7.1075
1993-10-06,7.0925
1993-10-07,7.0975
1993-10-08,7.0275
1993-10-11,
1993-10-12,6.9950
1993-10-13,7.0525
1993-10-14,7.0925
1993-10-15,7.0990
1993-10-18,7.1450
1993-10-19,7.1810
1993-10-20,7.2070
1993-10-21,7.2670
1993-10-22,7.2940
1993-10-25,7.2810
1993-10-26,7.3280
1993-10-27,7.3375
1993-10-28,7.3480
1993-10-29,7.3290
1993-11-01,7.3805
1993-11-02,7.3695
1993-11-03,7.3505
1993-11-04,7.3710
1993-11-05,7.3410
1993-11-08,7.3235
1993-11-09,7.3740
1993-11-10,7.3670
1993-11-11,
1993-11-12,7.3535
1993-11-15,7.3430
1993-11-16,7.3960
1993-11-17,7.3965
1993-11-18,7.4265
1993-11-19,7.4480
1993-11-22,7.4060
1993-11-23,7.4030
1993-11-24,7.3940
1993-11-25,
1993-11-26,7.4300
1993-11-29,7.4235
1993-11-30,7.4675
1993-12-01,7.4655
1993-12-02,7.4755
1993-12-03,7.4660
1993-12-06,7.3915
1993-12-07,7.4030
1993-12-08,7.3975
1993-12-09,7.4080
1993-12-10,7.3790
1993-12-13,7.4050
1993-12-14,7.4420
1993-12-15,7.4560
1993-12-16,7.4200
1993-12-17,7.4025
1993-12-20,7.4270
1993-12-21,7.4075
1993-12-22,7.3800
1993-12-23,7.3465
1993-12-24,7.3630
1993-12-27,7.3755
1993-12-28,7.3800
1993-12-29,7.4500
1993-12-30,7.5115
1993-12-31,7.5320
1994-01-03,7.5435
1994-01-04,7.5185
1994-01-05,7.5075
1994-01-06,7.5030
1994-01-07,7.4720
1994-01-10,7.4920
1994-01-11,7.5165
1994-01-12,7.4920
1994-01-13,7.5470
1994-01-14,7.5480
1994-01-17,
1994-01-18,7.5050
1994-01-19,7.5120
1994-01-20,7.4780
1994-01-21,7.5200
1994-01-24,7.5160
1994-01-25,7.5230
1994-01-26,7.5070
1994-01-27,7.5030
1994-01-28,7.4545
1994-01-31,7.4695
1994-02-01,7.4360
1994-02-02,7.4525
1994-02-03,7.4665
1994-02-04,7.5150
1994-02-07,7.5440
1994-02-08,7.5670
1994-02-09,7.5675
1994-02-10,7.5730
1994-02-11,7.5700
1994-02-14,7.5320
1994-02-15,7.4680
1994-02-16,7.4525
1994-02-17,7.4715
1994-02-18,7.4395
1994-02-21,
1994-02-22,7.4610
1994-02-23,7.4745
1994-02-24,7.4905
1994-02-25,7.4125
1994-02-28,7.3875
1994-03-01,7.4345
1994-03-02,7.3985
1994-03-03,7.3995
1994-03-04,7.4400
1994-03-07,7.4300
1994-03-08,7.4360
1994-03-09,7.4170
1994-03-10,7.3210
1994-03-11,7.2810
1994-03-14,7.3280
1994-03-15,7.3365
1994-03-16,7.3175
1994-03-17,7.3110
1994-03-18,7.3335
1994-03-21,7.3685
1994-03-22,7.3355
1994-03-23,7.3210
1994-03-24,7.2610
1994-03-25,7.2605
1994-03-28,7.2795
1994-03-29,7.2990
1994-03-30,7.3000
1994-03-31,7.2550
1994-04-01,7.3675
1994-04-04,7.3820
1994-04-05,7.4260
1994-04-06,7.4335
1994-04-07,7.4385
1994-04-08,7.4105
1994-04-11,7.4145
1994-04-12,7.4450
1994-04-13,7.4200
1994-04-14,7.4180
1994-04-15,7.4200
1994-04-18,7.4505
1994-04-19,7.3830
1994-04-20,7.3610
1994-04-21,7.3345
1994-04-22,7.3470
1994-04-25,7.2970
1994-04-26,7.2900
1994-04-27,7.2580
1994-04-28,7.2330
1994-04-29,7.1980
1994-05-02,7.1380
1994-05-03,7.1165
1994-05-04,7.2010
1994-05-05,7.2365
1994-05-06,7.2125
1994-05-09,7.1750
1994-05-10,7.2470
1994-05-11,7.2480
1994-05-12,7.2310
1994-05-13,7.2360
1994-05-16,7.2540
1994-05-17,7.2165
1994-05-18,7.1740
1994-05-19,7.1635
1994-05-20,7.1300
1994-05-23,7.1200
1994-05-24,7.1565
1994-05-25,7.1255
1994-05-26,7.1190
1994-05-27,7.1225
1994-05-30,
1994-05-31,7.1344
1994-06-01,7.1329
1994-06-02,7.1696
1994-06-03,7.2292
1994-06-06,7.2269
1994-06-07,7.2224
1994-06-08,7.2390
1994-06-09,7.2535
1994-06-10,7.2185
1994-06-13,7.1660
1994-06-14,7.1325
1994-06-15,7.1035
1994-06-16,7.0940
1994-06-17,7.0010
1994-06-20,6.9620
1994-06-21,6.9270
1994-06-22,6.9825
1994-06-23,6.9620
1994-06-24,6.9035
1994-06-27,6.8740
1994-06-28,6.8890
1994-06-29,6.9055
1994-06-30,6.9150
1994-07-01,6.9590
1994-07-04,
1994-07-05,6.9375
1994-07-06,6.8835
1994-07-07,6.9080
