date,801010_农林牧渔,801030_基础化工,801040_钢铁,801050_有色金属,801080_电子,801110_家用电器,801120_食品饮料,801130_纺织服饰,801140_轻工制造,801150_医药生物,801160_公用事业,801170_交通运输,801180_房地产,801200_商贸零售,801210_社会服务,801230_综合,801710_建筑材料,801720_建筑装饰,801730_电力设备,801740_国防军工,801750_计算机,801760_传媒,801770_通信,801780_银行,801790_非银金融,801880_汽车,801890_机械设备,801950_煤炭,801960_石油石化,801970_环保,801980_美容护理
2000-02-18,1413.28,1159.92,1107.09,1218.87,1367.6,1171.32,1206.57,1184.64,1248.52,1202.81,1264.18,1293.68,1263.63,1447.85,1293.14,1392.51,,,,,,,,,,,,,,,
2000-02-21,1441.89,1182.37,1123.19,1224.73,1341.93,1175.7,1210.13,1217.88,1282.21,1213.84,1281.6,1316.53,1288.6,1421.54,1305.12,1400.03,,,,,,,,,,,,,,,
2000-02-22,1419.15,1153.48,1097.77,1181.78,1317.96,1141.3,1186.69,1166.39,1218.25,1202.8,1243.04,1256.92,1241.08,1368.14,1273.18,1333.3,,,,,,,,,,,,,,,
2000-02-23,1399.22,1135.07,1081.86,1164.12,1261.55,1109.04,1155.03,1172.62,1176.4,1183.53,1219.2,1208.42,1212.82,1316.6,1242.61,1276.25,,,,,,,,,,,,,,,
2000-02-24,1424.87,1156.27,1093.77,1187.91,1304.43,1128.22,1182.26,1195.08,1207.39,1232.86,1254.33,1245.34,1233.37,1359.91,1296.58,1326.39,,,,,,,,,,,,,,,
2000-02-25,1425.97,1150.11,1106.63,1169.29,1309.33,1117.33,1182.01,1184.65,1207.02,1245.31,1245.04,1226.1,1225.59,1348.75,1303.98,1317.03,,,,,,,,,,,,,,,
2000-02-28,1493.82,1200.21,1134.32,1209.1,1400.32,1153.57,1232.92,1210.94,1247.76,1307.64,1299.4,1274.72,1279.61,1423.51,1357.05,1378.14,,,,,,,,,,,,,,,
2000-02-29,1493.42,1203.65,1141.95,1213.31,1409.85,1189.96,1220.04,1224.02,1241.34,1290.61,1296.69,1279.83,1305.27,1404.43,1360.6,1374.84,,,,,,,,,,,,,,,
2000-03-01,1502.71,1202.37,1146.87,1229.49,1372.28,1175.76,1211.0,1223.67,1237.11,1273.97,1307.57,1276.04,1308.49,1390.92,1350.83,1370.9,,,,,,,,,,,,,,,
2000-03-02,1507.87,1208.69,1142.28,1229.18,1405.72,1172.76,1213.24,1237.36,1258.44,1286.88,1305.92,1282.66,1309.6,1410.99,1362.68,1376.61,,,,,,,,,,,,,,,
2000-03-03,1498.59,1226.32,1152.16,1249.45,1430.19,1199.11,1235.28,1264.7,1280.59,1299.51,1324.74,1302.37,1320.73,1429.85,1388.71,1379.69,,,,,,,,,,,,,,,
2000-03-06,1449.86,1184.4,1140.69,1214.54,1344.13,1173.08,1191.56,1240.87,1236.7,1241.84,1274.91,1251.79,1255.9,1358.46,1319.53,1308.49,,,,,,,,,,,,,,,
2000-03-07,1449.21,1194.54,1162.22,1225.84,1337.72,1227.63,1200.46,1232.21,1255.77,1263.4,1286.27,1270.03,1255.62,1366.91,1322.34,1317.09,,,,,,,,,,,,,,,
2000-03-08,1469.58,1209.72,1151.34,1242.33,1372.54,1241.4,1208.22,1258.6,1279.85,1284.37,1325.98,1294.08,1282.95,1407.86,1351.43,1350.28,,,,,,,,,,,,,,,
2000-03-09,1474.38,1205.07,1146.85,1232.44,1360.11,1272.97,1208.07,1252.89,1261.22,1287.81,1347.85,1292.85,1274.54,1401.15,1384.37,1346.83,,,,,,,,,,,,,,,
2000-03-10,1448.85,1186.99,1137.11,1211.32,1352.4,1235.44,1197.39,1228.78,1244.77,1262.49,1311.49,1271.98,1258.28,1378.48,1352.63,1327.5,,,,,,,,,,,,,,,
2000-03-13,1478.78,1210.03,1161.63,1231.01,1364.95,1255.81,1211.25,1246.55,1268.87,1282.28,1316.0,1290.64,1288.19,1387.05,1382.92,1344.34,,,,,,,,,,,,,,,
2000-03-14,1448.17,1188.59,1143.51,1209.67,1328.52,1213.12,1187.0,1240.25,1248.89,1249.1,1286.24,1254.83,1263.84,1346.68,1350.6,1319.62,,,,,,,,,,,,,,,
2000-03-15,1450.1,1199.45,1161.73,1220.61,1314.68,1195.0,1192.61,1260.81,1251.18,1260.48,1272.68,1260.7,1277.46,1341.47,1353.87,1310.86,,,,,,,,,,,,,,,
2000-03-16,1402.56,1144.04,1122.49,1164.72,1253.3,1134.16,1141.24,1200.79,1199.98,1203.36,1205.59,1200.73,1213.87,1273.73,1288.53,1239.83,,,,,,,,,,,,,,,
2000-03-17,1444.13,1174.56,1146.79,1195.14,1306.69,1173.04,1175.83,1251.48,1233.14,1240.69,1249.58,1242.86,1258.05,1323.32,1347.56,1279.62,,,,,,,,,,,,,,,
2000-03-20,1476.28,1209.56,1184.34,1245.7,1347.37,1191.06,1208.13,1303.94,1265.05,1280.26,1277.52,1263.95,1293.07,1355.5,1418.52,1314.06,,,,,,,,,,,,,,,
2000-03-21,1484.09,1218.91,1187.56,1255.98,1364.28,1201.22,1213.55,1316.85,1276.95,1297.75,1296.04,1270.07,1305.41,1362.49,1418.8,1317.08,,,,,,,,,,,,,,,
2000-03-22,1490.19,1226.6,1193.54,1259.59,1382.9,1215.83,1214.96,1317.8,1282.36,1296.96,1305.74,1285.84,1310.16,1378.27,1427.29,1331.85,,,,,,,,,,,,,,,
2000-03-23,1510.84,1252.56,1200.47,1286.76,1409.29,1224.65,1233.22,1352.17,1306.55,1318.16,1335.16,1296.25,1332.27,1401.85,1475.58,1357.77,,,,,,,,,,,,,,,
2000-03-24,1493.61,1236.63,1176.11,1281.59,1394.0,1218.91,1232.71,1349.54,1279.49,1303.73,1324.06,1273.26,1326.93,1396.73,1482.07,1349.19,,,,,,,,,,,,,,,
2000-03-27,1523.32,1281.57,1212.78,1318.67,1429.67,1243.49,1276.49,1395.61,1326.62,1342.66,1370.77,1298.7,1378.08,1427.25,1533.72,1385.56,,,,,,,,,,,,,,,
2000-03-28,1544.13,1295.78,1230.26,1335.49,1438.11,1248.33,1278.24,1402.7,1338.69,1354.17,1397.14,1325.58,1377.17,1442.49,1517.42,1395.23,,,,,,,,,,,,,,,
2000-03-29,1537.14,1290.86,1221.2,1319.11,1443.36,1247.06,1274.47,1403.3,1331.47,1346.99,1382.96,1318.6,1366.09,1446.21,1501.75,1389.8,,,,,,,,,,,,,,,
2000-03-30,1540.48,1307.8,1232.22,1343.96,1465.51,1260.91,1293.95,1438.47,1337.97,1366.59,1408.15,1338.34,1384.85,1462.81,1523.71,1408.11,,,,,,,,,,,,,,,
2000-03-31,1537.94,1302.26,1238.12,1333.83,1448.55,1249.55,1277.41,1416.52,1335.3,1357.69,1389.67,1324.47,1375.7,1440.37,1505.4,1390.26,,,,,,,,,,,,,,,
2000-04-03,1522.13,1299.99,1235.51,1340.0,1458.91,1240.88,1274.27,1399.04,1332.56,1357.59,1384.53,1314.35,1379.91,1443.67,1495.83,1373.62,,,,,,,,,,,,,,,
2000-04-04,1507.87,1255.22,1208.87,1305.0,1411.78,1211.44,1257.82,1352.66,1305.96,1336.62,1357.3,1287.6,1356.99,1410.69,1476.43,1347.81,,,,,,,,,,,,,,,
2000-04-05,1518.92,1267.19,1218.21,1322.83,1410.82,1218.56,1263.01,1361.61,1311.82,1351.59,1370.63,1303.14,1375.83,1425.85,1497.45,1353.47,,,,,,,,,,,,,,,
2000-04-06,1541.46,1295.73,1246.97,1351.91,1440.27,1241.43,1278.17,1384.22,1339.52,1384.33,1399.21,1331.21,1429.48,1460.46,1528.97,1390.61,,,,,,,,,,,,,,,
2000-04-07,1569.14,1311.17,1272.05,1350.27,1437.88,1246.55,1287.71,1392.32,1351.7,1392.92,1416.5,1350.93,1431.03,1479.99,1513.44,1388.53,,,,,,,,,,,,,,,
2000-04-10,1557.76,1333.62,1292.96,1358.25,1448.08,1243.86,1295.62,1399.88,1360.55,1404.81,1424.3,1366.41,1438.1,1484.48,1509.57,1391.39,,,,,,,,,,,,,,,
2000-04-11,1564.94,1318.98,1279.34,1355.34,1462.58,1258.04,1295.55,1401.34,1342.65,1391.99,1419.97,1354.17,1419.2,1478.08,1505.45,1395.72,,,,,,,,,,,,,,,
2000-04-12,1551.9,1321.27,1307.28,1344.69,1423.39,1246.95,1277.84,1392.8,1344.07,1380.04,1405.18,1340.72,1409.77,1463.19,1499.77,1379.42,,,,,,,,,,,,,,,
2000-04-13,1573.71,1346.24,1344.08,1359.82,1431.11,1253.66,1298.1,1393.53,1367.59,1387.83,1420.36,1354.21,1425.27,1476.33,1491.27,1389.26,,,,,,,,,,,,,,,
2000-04-14,1568.76,1345.06,1346.9,1347.88,1416.61,1273.48,1304.1,1385.52,1358.26,1388.8,1428.31,1349.27,1423.12,1475.2,1486.39,1387.84,,,,,,,,,,,,,,,
2000-04-17,1545.19,1314.97,1315.37,1310.94,1367.62,1250.11,1287.82,1367.14,1334.11,1349.14,1420.79,1322.25,1390.51,1440.02,1434.03,1365.89,,,,,,,,,,,,,,,
2000-04-18,1550.94,1320.4,1316.27,1315.82,1376.14,1248.36,1293.35,1379.3,1341.25,1361.48,1430.97,1327.17,1398.64,1451.54,1448.84,1374.52,,,,,,,,,,,,,,,
2000-04-19,1575.33,1331.41,1313.97,1338.6,1404.03,1255.25,1304.08,1388.41,1372.93,1391.17,1460.58,1352.47,1415.18,1473.16,1476.48,1393.05,,,,,,,,,,,,,,,
2000-04-20,1587.4,1339.02,1328.53,1354.77,1411.54,1251.81,1304.3,1400.82,1381.6,1398.2,1479.92,1378.17,1427.46,1475.25,1490.39,1418.9,,,,,,,,,,,,,,,
2000-04-21,1574.37,1322.21,1312.98,1351.0,1415.85,1234.96,1297.52,1405.93,1366.05,1390.09,1469.49,1386.56,1423.42,1481.04,1486.29,1423.89,,,,,,,,,,,,,,,
2000-04-24,1576.25,1321.98,1309.14,1357.53,1403.52,1219.0,1298.6,1399.71,1351.38,1374.36,1461.79,1372.77,1425.73,1484.62,1469.79,1425.15,,,,,,,,,,,,,,,
2000-04-25,1578.45,1328.53,1326.84,1346.18,1398.09,1228.04,1291.27,1393.41,1350.36,1376.0,1456.79,1379.21,1411.96,1483.16,1475.23,1411.53,,,,,,,,,,,,,,,
2000-04-26,1578.58,1324.39,1317.78,1346.03,1404.2,1227.0,1291.72,1404.12,1348.69,1373.59,1449.09,1380.74,1408.93,1484.37,1474.07,1397.8,,,,,,,,,,,,,,,
2000-04-27,1586.93,1300.04,1301.44,1323.02,1394.73,1219.55,1271.89,1382.11,1328.12,1350.05,1425.59,1365.46,1386.57,1471.54,1455.81,1384.66,,,,,,,,,,,,,,,
2000-04-28,1619.77,1314.99,1311.49,1350.55,1432.03,1238.94,1293.71,1401.68,1347.92,1374.81,1446.34,1385.25,1411.46,1489.95,1483.14,1402.45,,,,,,,,,,,,,,,
2000-05-08,1620.15,1316.54,1330.55,1356.76,1426.36,1234.83,1296.99,1392.58,1343.07,1376.25,1460.84,1406.56,1414.24,1483.64,1486.15,1403.81,,,,,,,,,,,,,,,
2000-05-09,1598.22,1299.38,1315.0,1339.02,1404.46,1212.03,1277.5,1369.76,1329.91,1358.75,1443.32,1382.91,1388.61,1457.56,1474.2,1388.1,,,,,,,,,,,,,,,
2000-05-10,1555.9,1254.33,1265.04,1276.23,1372.8,1171.27,1236.91,1343.78,1286.6,1314.6,1398.34,1333.03,1341.8,1410.03,1415.85,1349.13,,,,,,,,,,,,,,,
2000-05-11,1532.81,1234.54,1233.06,1246.1,1332.11,1154.74,1221.47,1333.34,1256.08,1291.1,1366.59,1307.31,1315.09,1391.87,1385.33,1319.58,,,,,,,,,,,,,,,
2000-05-12,1530.9,1233.28,1228.78,1246.47,1326.25,1148.59,1222.09,1364.49,1247.58,1290.82,1366.24,1306.64,1310.9,1386.41,1374.34,1322.42,,,,,,,,,,,,,,,
2000-05-15,1498.2,1219.5,1214.1,1229.73,1312.64,1129.13,1216.76,1352.66,1238.29,1284.05,1342.69,1303.51,1288.52,1378.57,1362.28,1314.3,,,,,,,,,,,,,,,
2000-05-16,1505.7,1238.88,1237.54,1249.02,1329.69,1143.74,1230.18,1363.75,1256.72,1301.47,1362.14,1315.63,1307.83,1397.52,1384.79,1334.34,,,,,,,,,,,,,,,
2000-05-17,1510.09,1234.83,1230.48,1250.15,1331.13,1148.45,1229.55,1367.2,1250.55,1301.5,1368.05,1322.95,1308.66,1394.01,1383.76,1341.75,,,,,,,,,,,,,,,
2000-05-18,1539.45,1261.3,1275.07,1277.18,1354.36,1161.49,1251.99,1406.7,1278.73,1328.41,1397.65,1351.95,1340.21,1416.47,1427.68,1378.73,,,,,,,,,,,,,,,
2000-05-19,1556.01,1280.05,1305.84,1293.26,1370.8,1170.3,1262.62,1419.02,1301.37,1346.9,1422.35,1365.58,1361.13,1441.57,1455.03,1393.33,,,,,,,,,,,,,,,
2000-05-22,1598.45,1312.62,1325.28,1328.59,1420.91,1199.1,1292.64,1438.61,1334.46,1382.95,1465.93,1399.75,1400.74,1479.89,1500.93,1433.56,,,,,,,,,,,,,,,
2000-05-23,1594.74,1314.73,1349.75,1325.18,1415.83,1189.09,1294.54,1462.3,1330.58,1403.35,1454.87,1406.05,1398.42,1477.49,1501.62,1431.32,,,,,,,,,,,,,,,
2000-05-24,1591.3,1328.88,1359.34,1342.19,1447.09,1200.6,1314.86,1485.68,1352.92,1436.71,1465.15,1419.98,1419.91,1495.85,1521.36,1449.73,,,,,,,,,,,,,,,
2000-05-25,1612.55,1353.51,1373.47,1365.36,1468.44,1225.05,1329.23,1483.82,1385.06,1454.9,1477.96,1443.55,1439.4,1521.34,1536.25,1464.15,,,,,,,,,,,,,,,
2000-05-26,1622.09,1348.83,1408.14,1360.87,1470.29,1228.79,1323.19,1459.18,1389.14,1472.59,1477.32,1441.23,1434.47,1513.6,1519.95,1460.45,,,,,,,,,,,,,,,
2000-05-29,1629.95,1372.25,1417.72,1388.42,1482.71,1229.44,1329.45,1476.34,1402.52,1484.53,1495.73,1450.71,1448.57,1520.14,1533.55,1457.33,,,,,,,,,,,,,,,
2000-05-30,1618.91,1345.82,1404.36,1367.66,1479.69,1212.49,1312.2,1449.04,1385.02,1460.62,1497.14,1438.33,1434.62,1504.91,1526.96,1459.5,,,,,,,,,,,,,,,
2000-05-31,1614.32,1358.49,1456.24,1373.59,1476.58,1221.97,1314.24,1457.01,1401.82,1478.79,1494.44,1446.22,1454.02,1513.87,1547.44,1470.04,,,,,,,,,,,,,,,
2000-06-01,1626.59,1364.02,1484.37,1370.01,1496.25,1222.06,1317.45,1465.35,1407.38,1479.05,1496.87,1455.51,1476.42,1519.25,1557.66,1471.19,,,,,,,,,,,,,,,
2000-06-02,1617.56,1377.0,1526.74,1401.74,1505.03,1239.25,1323.2,1462.51,1404.26,1487.03,1505.35,1473.64,1484.7,1512.8,1541.21,1475.99,,,,,,,,,,,,,,,
2000-06-05,1606.93,1361.37,1464.93,1395.67,1509.57,1253.56,1335.36,1438.58,1374.51,1476.83,1499.71,1460.99,1465.99,1494.46,1528.85,1466.14,,,,,,,,,,,,,,,
2000-06-06,1635.82,1386.34,1433.3,1420.88,1548.3,1263.95,1369.67,1458.2,1396.88,1491.51,1530.46,1470.6,1495.32,1519.1,1557.27,1483.87,,,,,,,,,,,,,,,
2000-06-07,1634.67,1390.18,1427.01,1415.54,1536.48,1263.52,1358.67,1465.89,1407.44,1504.71,1547.86,1500.32,1504.37,1535.92,1583.17,1485.31,,,,,,,,,,,,,,,
2000-06-08,1615.73,1382.79,1430.88,1402.81,1515.82,1252.06,1339.96,1444.72,1400.24,1490.35,1529.69,1492.63,1503.17,1519.24,1586.6,1469.91,,,,,,,,,,,,,,,
2000-06-09,1606.7,1367.21,1410.16,1388.91,1496.6,1241.44,1324.17,1430.69,1382.55,1472.28,1506.3,1460.09,1487.54,1504.52,1561.21,1461.62,,,,,,,,,,,,,,,
2000-06-12,1612.07,1378.34,1406.39,1397.17,1500.15,1263.39,1328.27,1435.03,1386.07,1475.27,1517.63,1473.98,1496.88,1508.96,1579.75,1471.8,,,,,,,,,,,,,,,
2000-06-13,1624.7,1398.15,1435.14,1419.54,1507.12,1275.9,1345.12,1451.35,1408.31,1512.12,1539.37,1491.82,1517.58,1527.81,1596.01,1487.24,,,,,,,,,,,,,,,
2000-06-14,1624.34,1396.76,1428.73,1408.45,1493.13,1260.06,1350.97,1442.99,1404.28,1501.15,1527.93,1499.18,1513.91,1526.13,1593.02,1484.9,,,,,,,,,,,,,,,
2000-06-15,1619.74,1404.96,1425.74,1415.77,1495.2,1262.8,1357.91,1449.4,1414.33,1507.99,1536.21,1503.38,1523.54,1536.42,1595.06,1498.69,,,,,,,,,,,,,,,
2000-06-16,1603.84,1390.41,1423.6,1420.97,1489.69,1254.04,1343.16,1439.06,1401.73,1501.25,1531.15,1496.81,1499.66,1522.78,1594.75,1481.37,,,,,,,,,,,,,,,
2000-06-19,1599.43,1387.44,1431.19,1420.54,1486.43,1256.61,1348.06,1433.85,1398.55,1488.75,1529.48,1487.3,1485.48,1518.3,1586.55,1467.11,,,,,,,,,,,,,,,
2000-06-20,1594.29,1376.88,1407.72,1401.78,1483.31,1242.09,1344.66,1425.17,1374.63,1471.71,1508.98,1470.65,1482.97,1502.67,1554.5,1451.26,,,,,,,,,,,,,,,
2000-06-21,1606.88,1392.3,1410.53,1424.66,1517.56,1255.07,1365.25,1431.84,1392.03,1490.41,1531.64,1481.73,1493.01,1508.65,1573.52,1470.82,,,,,,,,,,,,,,,
2000-06-22,1605.22,1398.2,1415.33,1411.41,1523.59,1257.49,1367.03,1437.68,1385.0,1493.45,1526.88,1482.32,1486.63,1510.25,1570.49,1483.77,,,,,,,,,,,,,,,
2000-06-23,1618.66,1412.64,1444.79,1432.81,1553.65,1264.85,1378.78,1442.35,1389.39,1527.38,1538.43,1498.67,1500.39,1521.33,1578.07,1501.49,,,,,,,,,,,,,,,
2000-06-26,1618.39,1428.72,1470.46,1467.14,1554.46,1276.17,1384.07,1456.55,1414.43,1551.83,1550.33,1506.8,1512.93,1531.94,1601.52,1495.14,,,,,,,,,,,,,,,
2000-06-27,1616.77,1436.99,1477.63,1469.99,1534.49,1271.46,1374.83,1450.4,1416.03,1547.35,1556.15,1503.44,1517.19,1527.07,1608.91,1484.46,,,,,,,,,,,,,,,
2000-06-28,1617.78,1426.34,1491.9,1485.76,1535.82,1274.5,1375.67,1449.38,1417.81,1571.34,1562.57,1501.91,1525.22,1538.59,1606.37,1495.85,,,,,,,,,,,,,,,
2000-06-29,1618.18,1415.47,1474.89,1484.35,1528.42,1271.6,1376.67,1446.3,1416.15,1578.74,1563.0,1499.13,1523.14,1530.48,1578.73,1496.83,,,,,,,,,,,,,,,
2000-06-30,1603.62,1408.0,1463.44,1472.79,1526.74,1264.02,1375.31,1439.76,1409.48,1555.86,1559.32,1490.85,1512.63,1518.83,1567.61,1483.49,,,,,,,,,,,,,,,
2000-07-03,1580.58,1381.77,1447.05,1453.61,1493.14,1236.62,1354.41,1423.57,1396.85,1536.85,1542.08,1457.84,1481.29,1499.76,1533.69,1461.95,,,,,,,,,,,,,,,
2000-07-04,1594.41,1398.11,1462.58,1466.2,1506.7,1241.09,1370.41,1430.92,1406.96,1540.36,1552.7,1464.31,1490.8,1511.91,1542.34,1466.71,,,,,,,,,,,,,,,
2000-07-05,1599.36,1397.6,1465.7,1468.17,1518.78,1238.16,1369.42,1425.57,1407.83,1536.89,1552.75,1466.45,1486.81,1511.51,1550.14,1472.98,,,,,,,,,,,,,,,
2000-07-06,1601.89,1392.71,1480.23,1472.6,1514.08,1235.75,1359.79,1421.38,1400.28,1533.18,1544.42,1459.28,1476.0,1505.7,1538.53,1469.27,,,,,,,,,,,,,,,
2000-07-07,1615.66,1421.43,1505.22,1491.44,1532.0,1250.46,1377.65,1435.25,1411.79,1556.46,1565.91,1496.37,1493.97,1523.76,1561.28,1481.19,,,,,,,,,,,,,,,
2000-07-10,1616.83,1437.0,1551.01,1514.61,1536.05,1252.86,1394.84,1437.63,1437.66,1577.6,1578.25,1508.06,1503.29,1532.04,1573.02,1483.19,,,,,,,,,,,,,,,
2000-07-11,1621.45,1443.64,1538.56,1513.06,1557.17,1268.28,1403.1,1451.9,1446.87,1572.59,1586.91,1524.88,1517.57,1539.58,1580.39,1500.75,,,,,,,,,,,,,,,
2000-07-12,1616.44,1452.88,1594.94,1518.07,1558.01,1270.55,1407.36,1452.86,1453.17,1582.4,1598.23,1535.4,1519.59,1551.63,1593.52,1493.14,,,,,,,,,,,,,,,
2000-07-13,1616.63,1443.38,1568.82,1530.61,1598.43,1277.47,1401.22,1452.48,1444.81,1576.62,1587.65,1522.86,1525.79,1556.76,1595.12,1493.53,,,,,,,,,,,,,,,
2000-07-14,1626.56,1463.97,1568.02,1533.98,1600.04,1269.5,1408.74,1461.43,1447.52,1577.73,1588.56,1533.69,1533.88,1560.49,1604.68,1508.81,,,,,,,,,,,,,,,
2000-07-17,1619.58,1459.81,1559.57,1527.93,1591.87,1241.81,1402.49,1456.75,1444.23,1574.22,1573.31,1519.1,1522.12,1548.26,1593.24,1521.4,,,,,,,,,,,,,,,
2000-07-18,1628.22,1469.21,1577.53,1538.06,1607.29,1247.76,1409.21,1467.7,1445.62,1578.65,1580.81,1523.54,1527.79,1558.64,1601.42,1532.08,,,,,,,,,,,,,,,
2000-07-19,1634.04,1465.87,1574.08,1536.99,1601.62,1251.46,1412.74,1477.34,1461.17,1583.45,1584.37,1533.44,1525.1,1561.24,1605.47,1536.67,,,,,,,,,,,,,,,
2000-07-20,1651.86,1462.07,1575.61,1529.16,1587.0,1243.4,1413.11,1477.11,1462.42,1582.18,1580.25,1526.5,1525.49,1563.08,1611.06,1520.92,,,,,,,,,,,,,,,
2000-07-21,1658.36,1467.24,1579.34,1530.75,1579.84,1242.35,1405.61,1492.0,1483.88,1588.13,1583.39,1526.7,1530.9,1564.54,1609.46,1531.03,,,,,,,,,,,,,,,
2000-07-24,1663.57,1460.75,1586.34,1525.25,1567.39,1237.55,1396.12,1486.3,1486.48,1574.78,1583.81,1520.29,1539.21,1565.45,1590.88,1526.98,,,,,,,,,,,,,,,
2000-07-25,1672.47,1460.3,1598.99,1526.85,1575.07,1240.23,1399.75,1496.11,1485.75,1586.24,1583.16,1526.2,1545.84,1567.22,1598.35,1532.04,,,,,,,,,,,,,,,
