date,ipo_count,ipo_proceeds_wan,ipo_count_3m,ipo_count_12m
2008-02-29,,,,
2008-03-31,,,,
2008-04-30,,,,
2008-05-31,,,,
2008-06-30,,,,
2008-07-31,,,,
2008-08-31,,,,
2008-09-30,,,,
2008-10-31,,,,
2008-11-30,,,,
2008-12-31,,,,
2009-01-31,,,,
2009-02-28,,,,
2009-03-31,,,,
2009-04-30,,,,
2009-05-31,,,,
2009-06-30,,,,
2009-07-31,,,,
2009-08-31,,,,
2009-09-30,,,,
2009-10-31,,,,
2009-11-30,,,,
2009-12-31,,,,
2010-01-31,32.0,3678563.6,,
2010-02-28,19.0,3901201.55,,
2010-03-31,32.0,3013492.8,83.0,
2010-04-30,28.0,3494149.59095,79.0,
2010-05-31,34.0,4279796.9,94.0,
2010-06-30,18.0,1820874.9,80.0,
2010-07-31,22.0,8538780.184,74.0,
2010-08-31,25.0,4627382.7,65.0,
2010-09-30,26.0,3481016.0,73.0,
2010-10-31,23.0,2854454.25,74.0,
2010-11-30,24.0,2961139.6,73.0,
2010-12-31,34.0,4031959.6,81.0,317.0
2011-01-31,33.0,3307785.396,91.0,318.0
2011-02-28,26.0,2816094.104,93.0,325.0
2011-03-31,26.0,2685614.52,85.0,319.0
2011-04-30,20.0,1675019.5,72.0,311.0
2011-05-31,26.0,2594252.0,72.0,303.0
2011-06-30,26.0,1438128.8,72.0,311.0
2011-07-31,19.0,1127400.0,71.0,308.0
2011-08-31,22.0,2685402.0,67.0,305.0
2011-09-30,17.0,2713075.9,58.0,296.0
2011-10-31,13.0,913809.784,52.0,286.0
2011-11-30,15.0,1355250.6,45.0,277.0
2011-12-31,17.0,1759974.1,45.0,260.0
2012-01-31,5.0,205216.8,37.0,232.0
2012-02-29,17.0,1738915.887,39.0,223.0
2012-03-31,22.0,1431774.0,44.0,219.0
2012-04-30,15.0,1234223.482,54.0,214.0
2012-05-31,23.0,1645338.1099999999,60.0,211.0
2012-06-30,12.0,805600.6,50.0,197.0
2012-07-31,19.0,1197329.41,54.0,197.0
2012-08-31,11.0,643126.5,42.0,186.0
2012-09-30,10.0,563889.264,40.0,179.0
2012-10-31,1.0,3870.0,22.0,167.0
2012-11-30,,,,
2012-12-31,,,,
2013-01-31,,,,
2013-02-28,,,,
2013-03-31,,,,
2013-04-30,,,,
2013-05-31,,,,
2013-06-30,,,,
2013-07-31,,,,
2013-08-31,,,,
2013-09-30,,,,
2013-10-31,,,,
2013-11-30,,,,
2013-12-31,,,,
2014-01-31,39.0,2882142.936393,,
2014-02-28,3.0,136741.0099,,
2014-03-31,,,,
2014-04-30,,,,
2014-05-31,,,,
2014-06-30,9.0,553346.64,,
2014-07-31,10.0,365861.53,,
2014-08-31,9.0,602543.3,28.0,
2014-09-30,14.0,512827.93,33.0,
2014-10-31,11.0,443081.83,34.0,
2014-11-30,12.0,860885.67,37.0,
2014-12-31,10.0,1119523.3,33.0,
2015-01-31,21.0,1178879.6,43.0,
2015-02-28,24.0,1466752.54,55.0,
2015-03-31,22.0,2089447.4799999997,67.0,
2015-04-30,29.0,1543167.4032,75.0,
2015-05-31,44.0,1906674.02,95.0,215.0
2015-06-30,46.0,6328847.5514,119.0,252.0
2015-07-31,,,,
2015-08-31,,,,
2015-09-30,,,,
2015-10-31,,,,
2015-11-30,1.0,59855.159999999996,,
2015-12-31,24.0,901544.7975999999,,
2016-01-31,6.0,332131.15,31.0,
2016-02-29,6.0,269081.8,36.0,
2016-03-31,13.0,608548.48,25.0,
2016-04-30,15.0,762877.58,34.0,
2016-05-31,14.0,678653.43,42.0,
2016-06-30,14.0,637115.72,43.0,
2016-07-31,15.0,1637239.06,43.0,
2016-08-31,26.0,2157164.272,55.0,
2016-09-30,26.0,1325541.552806,67.0,
2016-10-31,21.0,1410202.3797839999,73.0,181.0
2016-11-30,39.0,3617358.574875,86.0,219.0
2016-12-31,51.0,2934448.4703430003,111.0,246.0
2017-01-31,53.0,2379712.5513,143.0,293.0
2017-02-28,23.0,1224692.3996000001,127.0,310.0
2017-03-31,50.0,2769536.94257,126.0,347.0
2017-04-30,36.0,1802964.958145,109.0,368.0
2017-05-31,35.0,1655550.9,121.0,389.0
2017-06-30,36.0,1713250.1264159998,107.0,411.0
2017-07-31,35.0,1828336.517371,106.0,431.0
2017-08-31,33.0,1656503.5262,104.0,438.0
2017-09-30,34.0,1639059.8216,102.0,446.0
2017-10-31,30.0,1687411.805911,97.0,455.0
2017-11-30,30.0,2020220.757888,94.0,446.0
2017-12-31,17.0,1270581.0196,77.0,412.0
2018-01-31,18.0,2383514.783216,65.0,377.0
2018-02-28,8.0,1119098.2195000001,43.0,362.0
2018-03-31,8.0,429186.392,34.0,320.0
2018-04-30,8.0,716156.823553,24.0,292.0
2018-05-31,9.0,3644104.7858329997,25.0,266.0
2018-06-30,9.0,918403.836915,26.0,239.0
2018-07-31,4.0,338985.69221,22.0,208.0
2018-08-31,8.0,577305.077435,21.0,183.0
2018-09-30,10.0,1808801.748198,22.0,159.0
2018-10-31,5.0,447586.73821599997,23.0,134.0
2018-11-30,7.0,903581.3811,22.0,111.0
2018-12-31,7.0,452542.911146,19.0,101.0
2019-01-31,14.0,1265500.826476,28.0,97.0
2019-02-28,5.0,395690.42725999997,26.0,94.0
2019-03-31,10.0,877727.008099,29.0,96.0
2019-04-30,14.0,1746376.463792,29.0,102.0
2019-05-31,9.0,532198.677815,33.0,102.0
2019-06-30,12.0,1307575.6803110002,35.0,105.0
2019-07-31,42.0,5099116.344723,63.0,143.0
2019-08-31,10.0,1753633.0339,64.0,145.0
2019-09-30,10.0,1020244.4624,62.0,145.0
2019-10-31,29.0,3450138.378678,49.0,169.0
2019-11-30,28.0,6141595.341192001,67.0,190.0
2019-12-31,18.0,1293105.033867,75.0,201.0
2020-01-31,21.0,4712106.759031,67.0,208.0
2020-02-29,15.0,1924448.8694860002,54.0,218.0
2020-03-31,17.0,1268964.33436,53.0,225.0
2020-04-30,23.0,1834454.2498,55.0,234.0
2020-05-31,22.0,2520068.47459,62.0,247.0
2020-06-30,28.0,1903746.1222,73.0,263.0
2020-07-31,84.0,11237420.897306,134.0,305.0
2020-08-31,63.0,6470069.677854,175.0,358.0
2020-09-30,57.0,6013284.8756099995,204.0,405.0
2020-10-31,25.0,3210119.977955,145.0,401.0
2020-11-30,33.0,2699414.565168,115.0,406.0
2020-12-31,53.0,3678942.918536,111.0,441.0
2021-01-31,44.0,3343883.966672,130.0,464.0
2021-02-28,25.0,1796243.468162,122.0,474.0
2021-03-31,49.0,2981453.039124,118.0,506.0
2021-04-30,52.0,4074874.650204,126.0,535.0
2021-05-31,43.0,6137646.909204,144.0,556.0
2021-06-30,52.0,3259138.9489100003,147.0,580.0
2021-07-31,52.0,3828497.23557,147.0,548.0
2021-08-31,43.0,9739556.356758,147.0,528.0
2021-09-30,36.0,2505221.226129,131.0,507.0
2021-10-31,40.0,3997278.482984,119.0,522.0
2021-11-30,41.0,4518776.754291,117.0,530.0
2021-12-31,42.0,13390032.005814,123.0,519.0
2022-01-31,26.0,5179695.168137,109.0,501.0
2022-02-28,19.0,1944244.232836,87.0,495.0
2022-03-31,42.0,6137463.934712,87.0,488.0
2022-04-30,28.0,6266585.447972001,89.0,464.0
2022-05-31,27.0,2104038.423099,97.0,448.0
2022-06-30,34.0,3906224.868687,89.0,430.0
2022-07-31,31.0,4195650.477681,92.0,409.0
2022-08-31,50.0,7281999.515424,115.0,416.0
2022-09-30,50.0,6110929.921018,131.0,430.0
2022-10-31,24.0,2140719.517571,124.0,414.0
2022-11-30,41.0,3250372.451406,115.0,414.0
2022-12-31,44.0,3200943.20501,109.0,416.0
2023-01-31,18.0,2168496.676947,103.0,408.0
2023-02-28,27.0,1923524.711474,89.0,416.0
2023-03-31,41.0,5494629.247905,86.0,415.0
2023-04-30,26.0,4375695.783505,94.0,413.0
2023-05-31,35.0,4061116.71744,102.0,421.0
2023-06-30,37.0,3567561.1992430002,98.0,424.0
2023-07-31,37.0,6471247.475757,109.0,430.0
2023-08-31,28.0,2777867.446867,102.0,408.0
2023-09-30,18.0,1651176.776496,83.0,376.0
2023-10-31,14.0,751926.230844,60.0,366.0
2023-11-30,16.0,1033269.748395,48.0,341.0
2023-12-31,17.0,1282081.990326,47.0,314.0
2024-01-31,16.0,1365213.202202,49.0,312.0
2024-02-29,3.0,211757.44470000002,36.0,288.0
2024-03-31,12.0,642049.415605,31.0,259.0
2024-04-30,3.0,113495.268416,18.0,236.0
2024-05-31,4.0,245883.8,19.0,205.0
2024-06-30,5.0,429551.37559,12.0,173.0
2024-07-31,6.0,470793.265,15.0,142.0
2024-08-31,10.0,535962.934286,21.0,124.0
2024-09-30,10.0,513468.372996,26.0,116.0
2024-10-31,11.0,485486.427901,31.0,113.0
2024-11-30,10.0,654330.87092,31.0,107.0
2024-12-31,12.0,858976.2315560001,33.0,102.0
2025-01-31,8.0,475119.365526,30.0,94.0
2025-02-28,5.0,387905.665372,25.0,96.0
2025-03-31,14.0,778219.122076,27.0,98.0
2025-04-30,7.0,643726.756536,26.0,102.0
2025-05-31,8.0,977008.8725500001,29.0,106.0
2025-06-30,6.0,512253.78476,21.0,107.0
2025-07-31,9.0,2076820.437052,23.0,110.0
2025-08-31,7.0,272075.592299,22.0,107.0
2025-09-30,12.0,1169212.253154,28.0,109.0
2025-10-31,11.0,1529207.056524,30.0,109.0
2025-11-30,10.0,2048439.697422,33.0,109.0
2025-12-31,15.0,1908481.663683,36.0,112.0
2026-01-31,12.0,1150145.642418,37.0,116.0
2026-02-28,8.0,423484.779826,35.0,119.0
2026-03-31,15.0,1404029.969299,35.0,120.0
2026-04-30,17.0,1789328.120047,40.0,130.0
2026-05-31,12.0,1018682.240598,44.0,134.0
2026-06-30,11.0,3320298.4272529995,40.0,139.0
2026-07-31,17.0,7235363.957010001,40.0,147.0
