code,date,score,year,tier,cluster
300003,2026-01-07,4,2026,ge4,td60
300725,2024-11-11,3,2024,ge3,td60
300725,2025-02-12,4,2025,ge3,td60
300725,2025-05-21,3,2025,ge3,td60
300725,2025-08-14,3,2025,ge3,td60
300725,2026-01-14,3,2026,ge3,td60
300725,2026-07-01,4,2026,ge3,td60
300725,2025-02-12,4,2025,ge4,td60
300725,2025-06-03,4,2025,ge4,td60
300725,2026-01-15,4,2026,ge4,td60
300725,2026-07-01,4,2026,ge4,td60
600570,2024-11-07,3,2024,ge3,td60
600570,2025-02-10,3,2025,ge3,td60
600570,2025-06-16,3,2025,ge3,td60
600570,2026-01-13,4,2026,ge3,td60
600570,2026-08-05,3,2026,ge3,td60
600570,2024-11-13,4,2024,ge4,td60
600570,2025-02-17,4,2025,ge4,td60
600570,2025-06-18,4,2025,ge4,td60
600570,2026-01-13,4,2026,ge4,td60
301362,2024-11-07,3,2024,ge3,td60
301362,2025-03-12,3,2025,ge3,td60
301362,2025-07-24,4,2025,ge3,td60
301362,2026-01-14,3,2026,ge3,td60
301362,2026-05-06,5,2026,ge3,td60
301362,2024-11-13,4,2024,ge4,td60
301362,2025-07-24,4,2025,ge4,td60
301362,2026-01-15,4,2026,ge4,td60
301362,2026-05-07,6,2026,ge4,td60
688031,2024-11-13,3,2024,ge3,td60
688031,2025-02-18,4,2025,ge3,td60
688031,2025-07-11,4,2025,ge3,td60
688031,2025-11-04,4,2025,ge3,td60
688031,2026-01-29,5,2026,ge3,td60
688031,2026-05-07,3,2026,ge3,td60
688031,2026-08-05,3,2026,ge3,td60
688031,2024-12-04,5,2024,ge4,td60
688031,2025-03-07,4,2025,ge4,td60
688031,2025-07-11,4,2025,ge4,td60
688031,2025-11-04,4,2025,ge4,td60
688031,2026-01-29,5,2026,ge4,td60
688167,2024-11-05,3,2024,ge3,td60
688167,2025-02-06,3,2025,ge3,td60
688167,2025-05-08,3,2025,ge3,td60
688167,2025-08-04,5,2025,ge3,td60
688167,2025-12-08,3,2025,ge3,td60
688167,2026-03-13,3,2026,ge3,td60
688167,2024-11-13,4,2024,ge4,td60
688167,2025-02-17,4,2025,ge4,td60
688167,2025-07-11,4,2025,ge4,td60
688167,2025-12-17,4,2025,ge4,td60
688167,2026-05-08,4,2026,ge4,td60
603629,2024-11-13,3,2024,ge3,td60
603629,2025-02-14,4,2025,ge3,td60
603629,2025-07-15,3,2025,ge3,td60
603629,2025-11-03,3,2025,ge3,td60
603629,2026-01-28,4,2026,ge3,td60
603629,2026-05-07,4,2026,ge3,td60
603629,2024-12-27,4,2024,ge4,td60
603629,2025-07-16,4,2025,ge4,td60
603629,2025-11-06,4,2025,ge4,td60
603629,2026-02-04,4,2026,ge4,td60
603629,2026-05-13,5,2026,ge4,td60
603256,2024-12-02,4,2024,ge3,td60
603256,2025-03-05,4,2025,ge3,td60
603256,2025-06-06,4,2025,ge3,td60
603256,2025-08-29,4,2025,ge3,td60
603256,2025-12-08,3,2025,ge3,td60
603256,2026-03-13,3,2026,ge3,td60
603256,2026-06-11,5,2026,ge3,td60
603256,2024-12-02,4,2024,ge4,td60
603256,2025-03-05,4,2025,ge4,td60
603256,2025-06-06,4,2025,ge4,td60
603256,2025-08-29,4,2025,ge4,td60
603256,2026-01-27,4,2026,ge4,td60
603256,2026-04-30,4,2026,ge4,td60
601869,2024-11-13,4,2024,ge3,td60
601869,2025-02-14,5,2025,ge3,td60
601869,2025-05-16,5,2025,ge3,td60
601869,2025-08-11,4,2025,ge3,td60
601869,2025-12-09,3,2025,ge3,td60
601869,2026-03-13,3,2026,ge3,td60
601869,2026-06-15,3,2026,ge3,td60
601869,2024-11-13,4,2024,ge4,td60
601869,2025-02-14,5,2025,ge4,td60
601869,2025-05-16,5,2025,ge4,td60
601869,2025-08-11,4,2025,ge4,td60
601869,2025-12-15,4,2025,ge4,td60
601869,2026-03-25,5,2026,ge4,td60
601869,2026-06-25,4,2026,ge4,td60
300277,2024-11-22,3,2024,ge3,td60
300277,2025-02-25,4,2025,ge3,td60
300277,2025-07-24,3,2025,ge3,td60
300277,2026-01-12,3,2026,ge3,td60
300277,2024-11-27,4,2024,ge4,td60
300277,2025-02-28,4,2025,ge4,td60
300277,2025-08-06,4,2025,ge4,td60
300277,2026-01-26,4,2026,ge4,td60
603163,2024-11-11,3,2024,ge3,td60
603163,2025-05-06,3,2025,ge3,td60
603163,2025-08-01,3,2025,ge3,td60
603163,2025-11-03,3,2025,ge3,td60
603163,2026-01-30,3,2026,ge3,td60
603163,2026-06-26,3,2026,ge3,td60
603163,2024-12-16,5,2024,ge4,td60
603163,2025-05-09,4,2025,ge4,td60
603163,2025-08-20,4,2025,ge4,td60
603163,2025-11-27,5,2025,ge4,td60
600487,2024-11-11,3,2024,ge3,td60
600487,2025-03-26,3,2025,ge3,td60
600487,2025-07-21,3,2025,ge3,td60
600487,2025-12-18,3,2025,ge3,td60
600487,2026-03-25,5,2026,ge3,td60
600487,2026-06-24,4,2026,ge3,td60
600487,2024-11-13,4,2024,ge4,td60
600487,2025-03-28,5,2025,ge4,td60
600487,2025-08-08,5,2025,ge4,td60
600487,2025-12-25,4,2025,ge4,td60
600487,2026-04-03,4,2026,ge4,td60
300017,2024-12-23,3,2024,ge3,td60
300017,2025-05-12,3,2025,ge3,td60
300017,2025-08-14,3,2025,ge3,td60
300017,2026-01-13,4,2026,ge3,td60
300017,2026-05-08,3,2026,ge3,td60
300017,2026-08-04,3,2026,ge3,td60
300017,2025-02-11,4,2025,ge4,td60
300017,2025-08-19,4,2025,ge4,td60
300017,2026-01-13,4,2026,ge4,td60
300442,2024-11-13,3,2024,ge3,td60
300442,2025-02-14,5,2025,ge3,td60
300442,2025-07-16,5,2025,ge3,td60
300442,2025-12-12,3,2025,ge3,td60
300442,2026-04-16,3,2026,ge3,td60
300442,2024-12-17,5,2024,ge4,td60
300442,2025-07-16,5,2025,ge4,td60
300442,2026-01-15,4,2026,ge4,td60
300442,2026-05-13,5,2026,ge4,td60
002796,2024-11-13,4,2024,ge3,td60
002796,2025-02-19,3,2025,ge3,td60
002796,2025-08-05,4,2025,ge3,td60
002796,2025-11-13,5,2025,ge3,td60
002796,2026-02-09,4,2026,ge3,td60
002796,2024-11-13,4,2024,ge4,td60
002796,2025-08-05,4,2025,ge4,td60
002796,2025-11-13,5,2025,ge4,td60
002796,2026-02-09,4,2026,ge4,td60
688661,2024-11-07,3,2024,ge3,td60
688661,2025-02-17,3,2025,ge3,td60
688661,2025-05-20,3,2025,ge3,td60
688661,2025-08-13,3,2025,ge3,td60
688661,2025-12-12,5,2025,ge3,td60
688661,2026-03-18,5,2026,ge3,td60
688661,2026-06-23,4,2026,ge3,td60
688661,2024-11-13,4,2024,ge4,td60
688661,2025-02-19,4,2025,ge4,td60
688661,2025-08-06,4,2025,ge4,td60
688661,2025-12-12,5,2025,ge4,td60
688661,2026-03-18,5,2026,ge4,td60
688661,2026-06-23,4,2026,ge4,td60
300394,2024-11-07,3,2024,ge3,td60
300394,2025-02-20,3,2025,ge3,td60
300394,2025-05-21,3,2025,ge3,td60
300394,2025-08-14,5,2025,ge3,td60
300394,2025-12-11,4,2025,ge3,td60
300394,2026-03-24,3,2026,ge3,td60
300394,2024-11-13,5,2024,ge4,td60
300394,2025-06-03,4,2025,ge4,td60
300394,2025-09-02,4,2025,ge4,td60
300394,2025-12-11,4,2025,ge4,td60
300394,2026-04-21,4,2026,ge4,td60
688125,2025-02-06,3,2025,ge3,td60
688125,2025-05-12,3,2025,ge3,td60
688125,2025-08-05,4,2025,ge3,td60
688125,2025-11-05,4,2025,ge3,td60
688125,2026-01-30,3,2026,ge3,td60
688125,2025-02-19,4,2025,ge4,td60
688125,2025-07-29,4,2025,ge4,td60
688125,2025-10-29,4,2025,ge4,td60
688125,2026-02-06,4,2026,ge4,td60
002506,2024-11-05,3,2024,ge3,td60
002506,2025-06-24,4,2025,ge3,td60
002506,2025-09-18,3,2025,ge3,td60
002506,2025-12-26,3,2025,ge3,td60
002506,2024-11-13,4,2024,ge4,td60
002506,2025-06-24,4,2025,ge4,td60
002506,2025-11-17,4,2025,ge4,td60
002506,2026-02-11,5,2026,ge4,td60
600589,2024-11-05,3,2024,ge3,td60
600589,2025-02-14,4,2025,ge3,td60
600589,2025-05-20,3,2025,ge3,td60
600589,2025-08-22,3,2025,ge3,td60
600589,2026-01-13,4,2026,ge3,td60
600589,2026-05-07,3,2026,ge3,td60
600589,2024-11-13,5,2024,ge4,td60
600589,2025-02-14,4,2025,ge4,td60
600589,2025-07-08,4,2025,ge4,td60
600589,2026-01-13,4,2026,ge4,td60
600589,2026-05-15,5,2026,ge4,td60
301248,2024-11-13,5,2024,ge3,td60
301248,2025-02-14,5,2025,ge3,td60
301248,2025-05-16,3,2025,ge3,td60
301248,2025-08-15,3,2025,ge3,td60
301248,2025-11-27,3,2025,ge3,td60
301248,2026-03-10,4,2026,ge3,td60
301248,2024-11-13,5,2024,ge4,td60
301248,2025-02-14,5,2025,ge4,td60
301248,2025-06-03,5,2025,ge4,td60
301248,2025-08-26,4,2025,ge4,td60
301248,2025-12-08,4,2025,ge4,td60
301248,2026-03-13,4,2026,ge4,td60
688510,2024-11-13,3,2024,ge3,td60
688510,2025-02-17,3,2025,ge3,td60
688510,2025-06-09,4,2025,ge3,td60
688510,2025-09-30,4,2025,ge3,td60
688510,2026-01-05,3,2026,ge3,td60
688510,2026-05-07,3,2026,ge3,td60
688510,2025-02-25,4,2025,ge4,td60
688510,2025-06-09,4,2025,ge4,td60
688510,2025-09-30,4,2025,ge4,td60
688510,2026-01-13,4,2026,ge4,td60
002008,2024-11-13,4,2024,ge3,td60
002008,2025-02-14,4,2025,ge3,td60
002008,2025-07-28,3,2025,ge3,td60
002008,2025-11-03,3,2025,ge3,td60
002008,2026-01-28,4,2026,ge3,td60
002008,2026-05-06,5,2026,ge3,td60
002008,2024-11-13,4,2024,ge4,td60
002008,2025-02-14,4,2025,ge4,td60
002008,2025-07-29,4,2025,ge4,td60
002008,2026-01-06,4,2026,ge4,td60
002008,2026-04-15,4,2026,ge4,td60
603052,2024-11-06,3,2024,ge3,td60
603052,2025-02-10,4,2025,ge3,td60
603052,2025-05-16,3,2025,ge3,td60
603052,2025-08-11,4,2025,ge3,td60
603052,2025-11-11,5,2025,ge3,td60
603052,2026-02-05,5,2026,ge3,td60
603052,2026-05-25,4,2026,ge3,td60
603052,2024-11-13,4,2024,ge4,td60
603052,2025-08-06,4,2025,ge4,td60
603052,2025-11-11,5,2025,ge4,td60
603052,2026-02-05,5,2026,ge4,td60
603052,2026-05-25,4,2026,ge4,td60
300666,2024-11-13,4,2024,ge3,td60
300666,2025-05-12,3,2025,ge3,td60
300666,2025-08-20,3,2025,ge3,td60
300666,2025-12-22,3,2025,ge3,td60
300666,2026-04-10,3,2026,ge3,td60
300666,2026-07-09,5,2026,ge3,td60
300666,2024-11-13,4,2024,ge4,td60
300666,2025-08-25,4,2025,ge4,td60
300666,2026-01-12,4,2026,ge4,td60
300666,2026-04-22,5,2026,ge4,td60
600590,2024-11-08,3,2024,ge3,td60
600590,2025-02-12,3,2025,ge3,td60
600590,2025-06-30,3,2025,ge3,td60
600590,2026-01-19,5,2026,ge3,td60
600590,2025-02-27,4,2025,ge4,td60
600590,2025-08-18,4,2025,ge4,td60
600590,2026-01-19,5,2026,ge4,td60
600673,2024-11-19,3,2024,ge3,td60
600673,2025-06-20,4,2025,ge3,td60
600673,2025-09-12,4,2025,ge3,td60
600673,2026-01-05,3,2026,ge3,td60
600673,2026-04-22,3,2026,ge3,td60
600673,2024-12-02,5,2024,ge4,td60
600673,2025-06-20,4,2025,ge4,td60
600673,2025-09-12,4,2025,ge4,td60
600673,2026-01-15,4,2026,ge4,td60
300567,2024-11-13,3,2024,ge3,td60
300567,2025-02-21,4,2025,ge3,td60
300567,2025-08-22,3,2025,ge3,td60
300567,2025-12-15,4,2025,ge3,td60
300567,2026-05-11,4,2026,ge3,td60
300567,2024-11-14,4,2024,ge4,td60
300567,2025-02-21,4,2025,ge4,td60
300567,2025-08-28,5,2025,ge4,td60
300567,2025-12-15,4,2025,ge4,td60
300567,2026-05-11,4,2026,ge4,td60
301486,2024-11-07,3,2024,ge3,td60
301486,2025-02-10,3,2025,ge3,td60
301486,2025-06-18,3,2025,ge3,td60
301486,2025-09-10,3,2025,ge3,td60
301486,2025-12-11,4,2025,ge3,td60
301486,2026-04-29,5,2026,ge3,td60
301486,2024-11-13,5,2024,ge4,td60
301486,2025-02-18,4,2025,ge4,td60
301486,2025-08-05,4,2025,ge4,td60
301486,2025-12-11,4,2025,ge4,td60
301486,2026-04-29,5,2026,ge4,td60
600522,2024-11-13,4,2024,ge3,td60
600522,2025-03-18,4,2025,ge3,td60
600522,2025-08-15,3,2025,ge3,td60
600522,2025-12-24,4,2025,ge3,td60
600522,2026-04-02,3,2026,ge3,td60
600522,2026-07-02,4,2026,ge3,td60
600522,2024-11-13,4,2024,ge4,td60
600522,2025-03-18,4,2025,ge4,td60
600522,2025-08-26,4,2025,ge4,td60
600522,2025-12-24,4,2025,ge4,td60
600522,2026-04-03,4,2026,ge4,td60
601231,2024-12-20,3,2024,ge3,td60
601231,2025-08-06,4,2025,ge3,td60
601231,2025-12-16,4,2025,ge3,td60
601231,2026-04-27,3,2026,ge3,td60
601231,2024-12-31,4,2024,ge4,td60
601231,2025-08-06,4,2025,ge4,td60
601231,2025-12-16,4,2025,ge4,td60
603138,2024-11-13,4,2024,ge3,td60
603138,2025-02-17,5,2025,ge3,td60
603138,2025-07-10,4,2025,ge3,td60
603138,2025-10-13,5,2025,ge3,td60
603138,2026-01-15,4,2026,ge3,td60
603138,2024-11-13,4,2024,ge4,td60
603138,2025-02-17,5,2025,ge4,td60
603138,2025-07-10,4,2025,ge4,td60
603138,2025-10-13,5,2025,ge4,td60
603138,2026-01-15,4,2026,ge4,td60
688479,2024-11-13,3,2024,ge3,td60
688479,2025-02-14,4,2025,ge3,td60
688479,2025-07-18,3,2025,ge3,td60
688479,2025-10-31,4,2025,ge3,td60
688479,2026-01-27,4,2026,ge3,td60
688479,2026-05-06,4,2026,ge3,td60
688479,2025-02-11,4,2025,ge4,td60
688479,2025-10-31,4,2025,ge4,td60
688479,2026-01-27,4,2026,ge4,td60
688479,2026-05-06,4,2026,ge4,td60
001400,2025-06-16,3,2025,ge3,td60
001400,2025-09-08,4,2025,ge3,td60
001400,2025-12-17,3,2025,ge3,td60
001400,2026-03-24,5,2026,ge3,td60
001400,2026-07-03,3,2026,ge3,td60
001400,2025-08-20,4,2025,ge4,td60
001400,2025-12-19,4,2025,ge4,td60
001400,2026-03-25,4,2026,ge4,td60
301396,2024-11-07,3,2024,ge3,td60
301396,2025-02-20,4,2025,ge3,td60
301396,2025-05-21,4,2025,ge3,td60
301396,2025-08-29,4,2025,ge3,td60
301396,2025-12-09,3,2025,ge3,td60
301396,2026-03-17,4,2026,ge3,td60
301396,2026-06-25,4,2026,ge3,td60
301396,2024-11-13,5,2024,ge4,td60
301396,2025-02-20,4,2025,ge4,td60
301396,2025-05-21,4,2025,ge4,td60
301396,2025-08-29,4,2025,ge4,td60
301396,2026-01-15,4,2026,ge4,td60
301396,2026-04-21,4,2026,ge4,td60
601615,2024-11-13,4,2024,ge3,td60
601615,2025-06-25,4,2025,ge3,td60
601615,2025-09-17,3,2025,ge3,td60
601615,2026-01-05,3,2026,ge3,td60
601615,2024-11-13,4,2024,ge4,td60
601615,2025-06-25,4,2025,ge4,td60
601615,2025-09-19,4,2025,ge4,td60
601615,2026-01-29,4,2026,ge4,td60
003018,2024-11-13,3,2024,ge3,td60
003018,2025-03-18,5,2025,ge3,td60
003018,2025-07-16,3,2025,ge3,td60
003018,2025-11-10,4,2025,ge3,td60
003018,2026-02-06,3,2026,ge3,td60
003018,2026-05-15,3,2026,ge3,td60
003018,2024-11-29,4,2024,ge4,td60
003018,2025-03-18,5,2025,ge4,td60
003018,2025-07-17,4,2025,ge4,td60
003018,2025-11-10,4,2025,ge4,td60
003018,2026-02-26,4,2026,ge4,td60
003018,2026-05-28,6,2026,ge4,td60
603002,2024-11-11,3,2024,ge3,td60
603002,2025-02-27,4,2025,ge3,td60
603002,2025-06-26,3,2025,ge3,td60
603002,2025-09-18,3,2025,ge3,td60
603002,2025-12-24,3,2025,ge3,td60
603002,2026-04-16,4,2026,ge3,td60
603002,2024-11-13,4,2024,ge4,td60
603002,2025-02-27,4,2025,ge4,td60
603002,2025-06-27,5,2025,ge4,td60
603002,2026-01-20,4,2026,ge4,td60
603002,2026-04-23,4,2026,ge4,td60
688170,2024-11-08,3,2024,ge3,td60
688170,2025-02-12,3,2025,ge3,td60
688170,2025-06-20,5,2025,ge3,td60
688170,2025-09-12,4,2025,ge3,td60
688170,2026-01-14,3,2026,ge3,td60
688170,2026-04-17,4,2026,ge3,td60
688170,2025-06-20,5,2025,ge4,td60
688170,2025-09-12,4,2025,ge4,td60
688170,2026-01-19,4,2026,ge4,td60
688170,2026-04-22,4,2026,ge4,td60
300776,2024-11-11,3,2024,ge3,td60
300776,2025-02-26,3,2025,ge3,td60
300776,2025-07-10,5,2025,ge3,td60
300776,2026-01-14,4,2026,ge3,td60
300776,2026-04-22,3,2026,ge3,td60
300776,2024-11-13,5,2024,ge4,td60
300776,2025-07-10,5,2025,ge4,td60
300776,2026-01-14,4,2026,ge4,td60
300776,2026-04-24,4,2026,ge4,td60
688216,2024-11-13,5,2024,ge3,td60
688216,2025-02-20,3,2025,ge3,td60
688216,2025-05-21,3,2025,ge3,td60
688216,2025-08-14,4,2025,ge3,td60
688216,2026-01-14,3,2026,ge3,td60
688216,2026-05-14,4,2026,ge3,td60
688216,2024-11-13,5,2024,ge4,td60
688216,2025-05-29,4,2025,ge4,td60
688216,2025-08-28,5,2025,ge4,td60
688216,2026-01-15,4,2026,ge4,td60
688216,2026-05-14,4,2026,ge4,td60
300672,2024-11-13,3,2024,ge3,td60
300672,2025-02-14,4,2025,ge3,td60
300672,2025-05-20,3,2025,ge3,td60
300672,2025-08-27,4,2025,ge3,td60
300672,2025-12-01,3,2025,ge3,td60
300672,2026-03-12,3,2026,ge3,td60
300672,2026-06-17,5,2026,ge3,td60
300672,2024-12-23,5,2024,ge4,td60
300672,2025-06-09,4,2025,ge4,td60
300672,2025-09-01,4,2025,ge4,td60
300672,2026-01-07,4,2026,ge4,td60
300672,2026-05-14,4,2026,ge4,td60
603685,2024-11-14,3,2024,ge3,td60
603685,2025-05-26,3,2025,ge3,td60
603685,2025-08-19,4,2025,ge3,td60
603685,2025-12-01,3,2025,ge3,td60
603685,2026-03-05,4,2026,ge3,td60
603685,2024-12-16,5,2024,ge4,td60
603685,2025-05-29,4,2025,ge4,td60
603685,2025-09-01,4,2025,ge4,td60
603685,2026-02-04,4,2026,ge4,td60
603685,2026-05-26,6,2026,ge4,td60
000070,2024-11-07,3,2024,ge3,td60
000070,2025-02-26,4,2025,ge3,td60
000070,2025-05-30,3,2025,ge3,td60
000070,2025-08-26,5,2025,ge3,td60
000070,2025-11-26,3,2025,ge3,td60
000070,2026-03-02,4,2026,ge3,td60
000070,2026-06-18,3,2026,ge3,td60
000070,2024-11-13,4,2024,ge4,td60
000070,2025-02-26,4,2025,ge4,td60
000070,2025-06-03,5,2025,ge4,td60
000070,2025-08-28,4,2025,ge4,td60
000070,2025-11-28,4,2025,ge4,td60
000070,2026-03-04,5,2026,ge4,td60
688380,2024-11-13,4,2024,ge3,td60
688380,2025-03-18,3,2025,ge3,td60
688380,2025-08-04,3,2025,ge3,td60
688380,2026-01-15,3,2026,ge3,td60
688380,2026-04-22,3,2026,ge3,td60
688380,2024-11-13,4,2024,ge4,td60
688380,2025-08-07,5,2025,ge4,td60
688380,2026-01-23,4,2026,ge4,td60
688380,2026-05-14,4,2026,ge4,td60
688258,2024-11-13,5,2024,ge3,td60
688258,2025-02-17,4,2025,ge3,td60
688258,2025-05-16,4,2025,ge3,td60
688258,2025-08-11,5,2025,ge3,td60
688258,2026-01-08,4,2026,ge3,td60
688258,2026-04-21,3,2026,ge3,td60
688258,2024-11-13,5,2024,ge4,td60
688258,2025-02-17,4,2025,ge4,td60
688258,2025-05-16,4,2025,ge4,td60
688258,2025-08-11,5,2025,ge4,td60
688258,2026-01-08,4,2026,ge4,td60
688258,2026-05-07,4,2026,ge4,td60
605118,2024-12-20,3,2024,ge3,td60
605118,2025-03-31,4,2025,ge3,td60
605118,2025-06-30,4,2025,ge3,td60
605118,2025-12-19,3,2025,ge3,td60
605118,2026-04-21,3,2026,ge3,td60
605118,2025-03-17,4,2025,ge4,td60
605118,2025-06-16,4,2025,ge4,td60
605118,2026-01-20,4,2026,ge4,td60
605118,2026-04-30,4,2026,ge4,td60
600498,2024-11-13,5,2024,ge3,td60
600498,2025-02-20,4,2025,ge3,td60
600498,2025-08-14,4,2025,ge3,td60
600498,2025-12-15,4,2025,ge3,td60
600498,2026-04-20,3,2026,ge3,td60
600498,2024-11-13,5,2024,ge4,td60
600498,2025-02-20,4,2025,ge4,td60
600498,2025-08-14,4,2025,ge4,td60
600498,2025-12-15,4,2025,ge4,td60
600498,2026-05-11,4,2026,ge4,td60
301611,2024-11-13,4,2024,ge3,td60
301611,2025-03-04,3,2025,ge3,td60
301611,2025-08-12,3,2025,ge3,td60
301611,2025-12-17,4,2025,ge3,td60
301611,2026-05-13,3,2026,ge3,td60
301611,2024-11-13,4,2024,ge4,td60
301611,2025-08-18,4,2025,ge4,td60
301611,2025-12-17,4,2025,ge4,td60
301611,2026-05-15,4,2026,ge4,td60
688312,2024-11-11,3,2024,ge3,td60
688312,2025-07-29,4,2025,ge3,td60
688312,2025-11-03,3,2025,ge3,td60
688312,2026-01-30,5,2026,ge3,td60
688312,2026-05-11,4,2026,ge3,td60
688312,2024-11-13,5,2024,ge4,td60
688312,2025-07-29,4,2025,ge4,td60
688312,2026-01-14,5,2026,ge4,td60
688312,2026-04-17,4,2026,ge4,td60
600391,2024-12-27,3,2024,ge3,td60
600391,2025-04-03,3,2025,ge3,td60
600391,2025-07-03,3,2025,ge3,td60
600391,2025-10-13,3,2025,ge3,td60
600391,2026-01-07,4,2026,ge3,td60
600391,2026-05-13,3,2026,ge3,td60
600391,2025-03-07,5,2025,ge4,td60
600391,2025-06-25,5,2025,ge4,td60
600391,2025-12-29,4,2025,ge4,td60
002859,2024-11-07,3,2024,ge3,td60
002859,2025-02-20,3,2025,ge3,td60
002859,2025-07-15,3,2025,ge3,td60
002859,2026-01-27,4,2026,ge3,td60
002859,2026-05-20,4,2026,ge3,td60
002859,2024-11-21,4,2024,ge4,td60
002859,2025-07-17,5,2025,ge4,td60
002859,2026-01-27,4,2026,ge4,td60
002859,2026-05-20,4,2026,ge4,td60
001389,2024-12-23,4,2024,ge3,td60
001389,2025-05-12,3,2025,ge3,td60
001389,2025-08-13,3,2025,ge3,td60
001389,2025-12-18,4,2025,ge3,td60
001389,2026-04-13,3,2026,ge3,td60
001389,2024-12-23,4,2024,ge4,td60
001389,2025-06-12,5,2025,ge4,td60
001389,2025-09-05,5,2025,ge4,td60
001389,2025-12-18,4,2025,ge4,td60
001389,2026-04-20,4,2026,ge4,td60
301225,2024-11-13,3,2024,ge3,td60
301225,2025-03-03,5,2025,ge3,td60
301225,2025-05-30,5,2025,ge3,td60
301225,2025-09-08,3,2025,ge3,td60
301225,2025-12-09,5,2025,ge3,td60
301225,2026-04-21,3,2026,ge3,td60
301225,2025-03-03,5,2025,ge4,td60
301225,2025-05-30,5,2025,ge4,td60
301225,2025-09-09,5,2025,ge4,td60
301225,2025-12-10,4,2025,ge4,td60
301005,2024-12-26,4,2024,ge3,td60
301005,2025-05-08,5,2025,ge3,td60
301005,2025-08-01,4,2025,ge3,td60
301005,2025-11-20,3,2025,ge3,td60
301005,2026-02-27,3,2026,ge3,td60
301005,2024-12-26,4,2024,ge4,td60
301005,2025-05-08,5,2025,ge4,td60
301005,2025-08-01,4,2025,ge4,td60
301005,2025-12-01,4,2025,ge4,td60
301005,2026-05-11,4,2026,ge4,td60
688636,2024-11-13,4,2024,ge3,td60
688636,2025-02-20,3,2025,ge3,td60
688636,2025-05-23,3,2025,ge3,td60
688636,2025-08-22,3,2025,ge3,td60
